date,open,high,low,close,amount
2023-03-30,1065.39,1070.11,1053.53,1065.69,4512360.1
2023-03-31,1063.29,1083.16,1059.36,1081.54,4486298.4
2023-04-03,1093.08,1128.23,1090.75,1126.49,6877674.04
2023-04-04,1122.38,1147.73,1115.74,1129.08,8163471.82
2023-04-06,1127.03,1165.34,1127.03,1146.96,8038899.66
2023-04-07,1149.54,1162.57,1141.83,1161.02,5884504.25
2023-04-10,1164.98,1171.3,1126.05,1129.17,6701198.91
2023-04-11,1132.22,1138.62,1109.22,1121.74,5812648.51
2023-04-12,1118.13,1139.09,1112.45,1129.41,5762071.75
2023-04-13,1122.37,1124.71,1098.12,1100.13,4985496.41
2023-04-14,1107.62,1137.95,1095.96,1136.21,6335469.53
2023-04-17,1134.05,1151.4,1134.05,1140.13,5577303.83
2023-04-18,1130.81,1137.83,1114.83,1129.82,5137961.11
2023-04-19,1131.74,1151.68,1127.71,1134.4,5907546.9
2023-04-20,1134.94,1165.68,1134.94,1164.95,8457167.98
2023-04-21,1162.94,1167.54,1116.83,1116.83,7960047.25
2023-04-24,1116.67,1118.77,1089.96,1096.38,6894186.75
2023-04-25,1095.95,1102.39,1068.72,1076.86,6697340.35
2023-04-26,1072.7,1085.97,1060.13,1069.01,7161554.37
2023-04-27,1063.53,1082.03,1059.95,1068.01,5312034.2
2023-04-28,1060.71,1089.74,1060.71,1087.87,5779924.39
2023-05-04,1077.85,1082.84,1060.3,1064.2,5476593.81
2023-05-05,1062.66,1067.41,1047.09,1049.09,4311877.63
2023-05-08,1050.1,1063.89,1046.26,1057.21,4056241.14
2023-05-09,1058.37,1063.02,1034.19,1034.21,5384214.5
2023-05-10,1031.13,1038.11,1018.08,1025.71,4876000.9
2023-05-11,1035.18,1042.32,1025.57,1025.97,3317289.5
2023-05-12,1028.36,1036.88,1014.02,1014.11,3807196.0
2023-05-15,1013.53,1025.91,1006.3,1025.79,4093599.26
2023-05-16,1029.33,1033.82,1022.34,1025.87,3336123.58
2023-05-17,1025.45,1035.15,1024.18,1029.65,2977814.28
2023-05-18,1031.4,1038.52,1027.76,1034.82,3364497.0
2023-05-19,1040.35,1048.9,1036.97,1040.16,3274827.96
2023-05-22,1040.83,1048.47,1027.44,1032.11,2725465.46
2023-05-23,1029.14,1029.33,1016.11,1016.11,2750318.01
2023-05-24,1011.12,1024.07,1006.71,1011.77,4235249.11
2023-05-25,1016.92,1023.42,1006.79,1021.72,3925165.83
2023-05-26,1023.86,1040.67,1022.11,1038.66,3421354.82
2023-05-29,1041.27,1047.36,1026.83,1028.38,5032420.07
2023-05-30,1025.83,1047.47,1022.15,1044.43,3913136.43
2023-05-31,1040.34,1053.91,1037.63,1053.91,4829285.11
2023-06-01,1048.95,1067.23,1044.98,1053.55,3934001.68
2023-06-02,1055.95,1059.25,1047.37,1053.29,3758792.73
2023-06-05,1063.15,1068.3,1049.45,1051.73,3735234.39
2023-06-06,1047.92,1048.3,1021.0,1022.98,3681389.88
2023-06-07,1023.95,1026.46,1015.34,1019.05,3250142.41
2023-06-08,1012.66,1014.57,1001.75,1007.12,4100227.89
2023-06-09,1008.9,1032.55,1003.32,1032.55,6871911.58
2023-06-12,1030.26,1032.09,1022.4,1026.64,4377578.23
2023-06-13,1025.21,1043.96,1021.27,1039.46,3988240.69
2023-06-14,1038.89,1040.33,1031.07,1035.31,3294447.79
2023-06-15,1036.31,1038.72,1029.74,1033.85,4031350.11
2023-06-16,1034.42,1055.08,1032.31,1052.88,4229049.37
2023-06-19,1053.34,1059.98,1044.98,1055.45,3736427.0
2023-06-20,1054.51,1058.6,1043.5,1055.41,4149603.36
2023-06-21,1050.12,1051.02,1020.14,1020.22,3353382.25
2023-06-26,1011.15,1029.94,1006.35,1010.31,3939414.36
2023-06-27,1011.08,1018.9,1006.79,1011.35,3431992.76
2023-06-28,1017.08,1019.67,996.14,1008.22,3444329.03
2023-06-29,1004.54,1012.06,1001.46,1001.46,3121909.77
2023-06-30,999.18,1009.1,997.54,1005.15,3094198.01
2023-07-03,1006.58,1013.19,999.16,1008.4,4218681.11
2023-07-04,1008.43,1022.46,1004.12,1015.4,3525085.94
2023-07-05,1013.38,1016.81,1004.54,1005.73,2851577.17
2023-07-06,1004.67,1012.85,1001.37,1002.11,2851424.75
2023-07-07,1001.02,1002.45,989.66,991.85,2877104.62
2023-07-10,992.74,1001.03,990.25,993.73,2750745.99
2023-07-11,996.56,1003.22,994.26,1001.41,2971280.31
2023-07-12,999.24,1000.01,984.03,984.98,3492460.13
2023-07-13,988.7,997.7,988.59,995.97,2933534.25
2023-07-14,999.79,1002.82,990.62,991.56,3202731.14
2023-07-17,988.88,988.88,982.05,984.82,2745770.57
2023-07-18,985.24,987.71,980.02,980.02,2593200.15
2023-07-19,987.0,988.55,973.34,975.11,2227854.43
2023-07-20,978.38,978.63,960.29,961.13,2229589.21
2023-07-21,958.89,963.97,953.93,955.55,2313989.93
2023-07-24,953.96,961.4,949.64,950.55,1945775.55
2023-07-25,961.52,965.69,956.37,964.4,2363364.5
2023-07-26,963.55,967.67,959.32,961.6,2118614.21
2023-07-27,962.61,964.62,950.81,952.3,2361108.18
2023-07-28,950.51,963.01,948.2,962.64,2597667.65
2023-07-31,961.69,973.9,961.69,968.99,3218418.46
2023-08-01,969.41,971.52,966.13,969.68,2867515.2
2023-08-02,967.69,973.39,965.99,968.44,2601847.67
2023-08-03,962.55,972.16,962.05,970.37,2746951.9
